freq,amp_thresh,goer_thresh,acc,precision,recall,f1,specificity,tp,tn,fp,fn
58721.337995672824,0.0001155676816200803,8.718234348899471e-06,0.539,0.5380761523046093,1.0,0.6996742671009772,0.004319654427552491,537,2,461,0
56117.17431777761,0.0003561112239942,9.316500466877345e-06,0.481,0.4804804804804805,1.0,0.6490872210953347,0.0019230769230399408,480,1,519,0
59841.50286879952,0.009661814790232898,8.133766356378976e-06,0.506,0.5015136226034309,1.0,0.668010752688172,0.017892644134833147,497,9,494,0
59820.794665075344,0.004983381131968099,2.2964099575683093e-06,0.512,0.512,1.0,0.6772486772486772,0.0,512,0,488,0
26650.63957641992,0.009831745118545877,7.452367599256841e-06,0.483,0.48144433299899697,1.0,0.6499661475964793,0.005769230769119823,480,3,517,0
53125.47135530762,0.007360788099662469,6.814169958123492e-06,0.471,0.47047047047047047,1.0,0.6398910823689585,0.0018867924527945887,470,1,529,0
29022.586769773323,0.008200689616540864,6.25902256316567e-06,0.498,0.498,1.0,0.664886515353805,0.0,498,0,502,0
23143.98523529051,0.006757186773518587,9.142620485049557e-06,0.495,0.495,1.0,0.6622073578595318,0.0,495,0,505,0
58315.0372464103,0.00040394915540155026,8.180503494250461e-06,0.494,0.48940464177598386,1.0,0.6571815718157181,0.01747572815500047,485,9,506,0
58279.1348563734,0.0033244171368205454,7.965786692701002e-06,0.497,0.4954864593781344,1.0,0.6626425217974514,0.00592885375482354,494,3,503,0
54829.01809897415,0.009738613687538188,7.184271998842308e-06,0.499,0.4964824120603015,1.0,0.6635325721961047,0.009881422924705901,494,5,501,0
54831.62079945944,0.009612667320150262,2.9163672784173186e-06,0.497,0.497,1.0,0.663994655978624,0.0,497,0,503,0
56165.636592928655,0.008783124582114011,7.17635699972615e-06,0.516,0.5155155155155156,1.0,0.6803170409511229,0.0020618556700605804,515,1,484,0
54210.50354691147,0.008801138519114746,6.009736907276072e-06,0.521,0.521,1.0,0.6850756081525312,0.0,521,0,479,0
59996.49120364455,0.006526950335310146,7.850784538522108e-06,0.502,0.5005015045135406,1.0,0.6671122994652406,0.005988023951976287,499,3,498,0
57099.66404232051,0.0004546427141018184,9.377101254462334e-06,0.498,0.4969939879759519,1.0,0.6639892904953146,0.003968253968175233,496,2,502,0
55504.210025221335,0.00039831595536955836,6.655430880652674e-06,0.49,0.4894894894894895,1.0,0.657258064516129,0.001956947162388318,489,1,510,0
57493.37495221121,0.008036401273092245,8.30900423754835e-06,0.521,0.5205205205205206,1.0,0.684660961158657,0.0020833333332899305,520,1,479,0
58706.40368126095,0.009396367622273933,8.632270062446584e-06,0.507,0.5055165496489469,1.0,0.6715522984676882,0.00604838709665225,504,3,493,0
58883.556433469326,0.0004273432119335497,7.393423497862051e-06,0.47,0.46893787575150303,1.0,0.6384720327421555,0.003759398496169936,468,2,530,0
56353.94016100554,0.0003445436241363945,9.834873015885175e-06,0.505,0.5035105315947843,1.0,0.6697798532354903,0.006024096385421202,502,3,495,0
57518.226688287796,0.000511808328116492,7.737994930559188e-06,0.501,0.5,1.0,0.6666666666666666,0.003992015967984191,499,2,499,0
52688.22350584545,0.0026865320391259006,8.879568950025026e-06,0.523,0.523,1.0,0.6868023637557452,0.0,523,0,477,0
54559.07818856355,0.00045860456154511676,6.7166124693756765e-06,0.504,0.5035035035035035,1.0,0.6697736351531292,0.0020120724345671615,503,1,496,0
59008.906715913974,0.0012113493401875687,5.773109363775619e-06,0.523,0.5215646940822467,1.0,0.6855636123928807,0.006249999999869791,520,3,477,0
55756.314243158115,0.00037169264945673586,5.126662106134812e-06,0.491,0.48997995991983967,1.0,0.6577000672494956,0.003913894324776636,489,2,509,0
39561.46474656218,0.007416826319345989,9.95661001462027e-06,0.478,0.478,1.0,0.6468200270635994,0.0,478,0,522,0
